,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
5402,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2978-guadalajara-277-santiago-de-surco-lima-lima-cp-building,GUADALAJARA 277,-12.1329643,-77.0120508,Guadalajara 277,Santiago De Surco,En construcción,"31 de Enero, 2025",Banco BCP,"['Areas verdes', 'Ascensor directo', 'Jardin interior', 'Lobby', 'Parque privado', 'Terraza', 'Video vigilancia', 'Otros']",flat,S01,Piso:,3,123.00 m2,"$ 250,000"
4340,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3197-luzzo-family-homes-cerro-colorado-arequipa-arequipa-anden,LUZZO Family Homes,-16.3702875,-71.5564844,"JCHV+VCJ, Arequipa 04017",Cerro Colorado,En planos,"31 de Diciembre, 2025",Otros,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,F02,Pisos: Entre 2 al 10,1,44.12 m2,"$ 68,165"
4240,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3025-centrix-28-miraflores-lima-lima-ee-inmobiliaria,Centrix 28,-12.12972221149553,-77.0214986734462,AV. 28 de Julio 1109 con Cl. Francisco del Castillo N° 359 - 365,Miraflores,En planos,"31 de Julio, 2026",Banco BCP,"['Gimnasio', 'Lobby', 'Terraza', 'Zona de Parrillas']",flat,Dpto. 1205,Piso: 12,2,59.37 m2,"S/ 503,000"
55,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2279-sevilla-miraflores-lima-lima-edifica,Sevilla,-12.106246107262274,-77.03081131426016,Sevilla 107,Miraflores,Entrega inmediata,"15 de Noviembre, 2023",BBVA,"['Lobby', 'Piscina', 'Sala Bar', 'Zona de Parrillas', 'Otros']",duplex,14,Piso: 16,2,84.45 m2,"S/ 801,793"
4613,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3358-central-home-chacarilla-santiago-de-surco-lima-lima-ee-inmobiliaria,Central Home Chacarilla,-12.112760461149128,-76.99036037001652,Cl. Monterrey 319,Santiago De Surco,En planos,"31 de Octubre, 2025",Banco BCP,"['Gimnasio', 'Lobby', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas']",flat,Dpto. 1501,Piso: 15,3,76.21 m2,"$ 150,000"
1688,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3119-hercelles-la-victoria-lima-lima-balance-grupo-inmobiliario,HERCELLES,-12.0868088,-77.0229109,Jirón Oswaldo Hercelles 266,La Victoria,En planos,"30 de Septiembre, 2025",Banco Interbank,"['Lobby', 'Sala de usos Múltiples', 'Otros']",flat,X05,Pisos: Entre 1 al 8,2,53.71 m2,"S/ 376,000"
4049,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2393-lombardia-lince-lima-lima-toratto-grupo-inmobiliario,LOMBARDIA,-12.0813968,-77.03940030000001,Jr. Manuel Gómez N° 390,Lince,En construcción,"31 de Diciembre, 2024",BBVA,"['Área de juegos para niños', 'Lobby', 'Otros']",flat,TIPO H,Piso: 1,1,62.27 m2,"S/ 377,875"
3682,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3237-valle-grande-4-carabayllo-lima-lima-enacorp,VALLE GRANDE 4,-11.862355623377484,-77.05571705709315,Av. San Juan de Dios s/n Paradero Haras - Carabayllo,Carabayllo,En construcción,"01 de Noviembre, 2024",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Parque privado', 'Sala de Niños', 'Sala de usos Múltiples', 'Otros']",flat,TIPO 154,Piso: 4,3,54.87 m2,"S/ 85,695"
6403,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2635-art-28-miraflores-lima-lima-edifica,ART 28,-12.1282224,-77.0255233,Av. 28 Julio 815 Miraflores,Miraflores,En construcción,"31 de Enero, 2025",Financiamiento Propio,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Zona de Lavandería', 'Otros']",flat,20,Piso: 1,2,80.08 m2,"S/ 794,126"
2761,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2644-c-gonzales-239-san-miguel-lima-lima-v&v-grupo-inmobiliario,C. GONZALES 239,-12.0756621,-77.0910708,C. Carlos Gonzalez 239 San Miguel 15088,San Miguel,En construcción,"31 de Enero, 2025",Otros,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Piscina', 'Salon Gourmet', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 8,Pisos: Entre 2 al 19,2,56.50 m2,"S/ 390,000"
5596,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3334-residencial-green-life-chorrillos-lima-lima-verones-grupo-inmobiliario,Residencial Green Life,-12.176865728505682,-77.0041376935666,Los Gorriones 490,Chorrillos,En planos,"09 de Abril, 2026",Financiamiento Propio,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,306,Piso: 3,2,46.49 m2,"S/ 258,717"
4729,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3239-sky-park-san-borja-lima-lima-inhouse,SKY PARK,-12.0956057,-76.9882326,Jirón Paseo del Bosque 832,San Borja,En planos,"31 de Marzo, 2026",BBVA,"['Areas verdes', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,909,Piso: 9,2,61.15 m2,"S/ 479,000"
